===================================================================================
Comparator TDC <=> SimadynD software version: v.06 
Author: Anton Tushev 
Comparation result made from TX04_fixed_v1.csv file 
Date and time: 2019-05-21 03:37:31.913177 
Use filters: 
XXXXXXXX - critical points 
!!!!!!!! - not critical errors 
False - difference in programs
True - no difference in programs 
=====================
Curren filters:
SKIP_EQUAL:		True
SKIP_BLOCK_NEXST:	True
SKIP_SIGNAL_NFND:	True
SKIP_TYPE_STR:		True
SKIP_CHART_NFND:	True
===================================================================================

TX04 MONIM2 MES106 I1 XXXXXXXXXXXXXXXX ERROR CRITICAL missing connection    XXXXXXXXXXXXXXXXXXXXXXXXXXX

TX04 MONIM2 MES107 I1 XXXXXXXXXXXXXXXX ERROR CRITICAL missing connection    XXXXXXXXXXXXXXXXXXXXXXXXXXX

TX04 MONIM2 MON040 I XXXXXXXXXXXXXXXX ERROR CRITICAL missing connection    XXXXXXXXXXXXXXXXXXXXXXXXXXX

TX04 MONIM2 MON045 I XXXXXXXXXXXXXXXX ERROR CRITICAL missing connection    XXXXXXXXXXXXXXXXXXXXXXXXXXX

TX04 MONIM2 RSINI X Comparison: 10005 >>> 20005 >>> False 

TX04 MONIW2 MES009 X XXXXXXXXXXXXXXXX ERROR CRITICAL missing connection    XXXXXXXXXXXXXXXXXXXXXXXXXXX

TX04 MONIW2 RSCOM X Comparison: 10006 >>> 20006 >>> False 

TX04 SERV_2 MSI_P2 RP Comparison: 32000 >>> 2502                    >>> False 

TX04 VISU_2 VIB110 I13 Comparison: 1 >>> 0 >>> False 

